id,Churn
594194,0.01
594195,0.0
594196,0.02
594197,0.0
594198,0.35
594199,0.2
594200,0.97
594201,0.0
594202,0.02
594203,0.41
594204,0.0
594205,0.04
594206,0.45
594207,0.85
594208,0.0
594209,0.07
594210,0.6
594211,0.0
594212,0.77
594213,0.19
594214,0.0
594215,0.55
594216,0.0
594217,1.0
594218,0.0
594219,0.03
594220,0.0
594221,0.04
594222,0.01
594223,0.95
594224,0.0
594225,0.02
594226,1.0
594227,0.06
594228,0.08
594229,0.01
594230,0.0
594231,0.05
594232,0.19
594233,1.0
594234,0.95
594235,0.55
594236,0.44
594237,0.19
594238,0.01
594239,0.97
594240,0.62
594241,0.8
594242,0.59
594243,0.03
594244,0.0
594245,0.08
594246,0.61
594247,0.91
594248,0.24
594249,0.03
594250,0.0
594251,0.78
594252,0.84
594253,0.0
594254,0.49
594255,0.18
594256,0.0
594257,0.07
594258,0.08
594259,0.0
594260,0.82
594261,0.04
594262,0.88
594263,0.01
594264,0.87
594265,0.0
594266,0.0
594267,0.0
594268,0.0
594269,0.18
594270,0.04
594271,0.28
594272,0.0
594273,0.46
594274,0.38
594275,0.33
594276,0.18
594277,0.02
594278,0.82
594279,0.86
594280,0.54
594281,0.0
594282,0.94
594283,0.35
594284,0.0
594285,0.16
594286,0.37
594287,0.0
594288,0.0
594289,0.0
594290,0.0
594291,0.0
594292,0.06
594293,0.92
594294,0.03
594295,0.23
594296,0.03
594297,0.09
594298,0.0
594299,0.07
594300,0.32
594301,0.12
594302,0.33
594303,0.02
594304,0.49
594305,0.04
594306,0.05
594307,0.0
594308,0.22
594309,0.83
594310,0.88
594311,0.0
594312,0.03
594313,0.0
594314,0.16
594315,0.55
594316,0.0
594317,0.07
594318,0.0
594319,0.0
594320,0.74
594321,0.0
594322,0.07
594323,0.0
594324,0.31
594325,0.0
594326,0.06
594327,0.93
594328,0.08
594329,0.18
594330,0.01
594331,0.59
594332,0.0
594333,0.62
594334,0.0
594335,0.33
594336,0.0
594337,0.01
594338,0.0
594339,0.6
594340,0.12
594341,0.0
594342,0.08
594343,0.15
594344,0.0
594345,0.34
594346,0.0
594347,0.0
594348,0.0
594349,0.18
594350,0.47
594351,0.0
594352,0.0
594353,0.0
594354,0.01
594355,0.0
594356,0.15
594357,0.0
594358,0.21
594359,0.0
594360,0.0
594361,0.0
594362,0.0
594363,0.0
594364,0.5
594365,0.0
594366,0.45
594367,0.31
594368,0.0
594369,0.51
594370,0.0
594371,0.67
594372,0.29
594373,0.1
594374,0.43
594375,0.12
594376,0.04
594377,0.0
594378,0.02
594379,0.0
594380,0.19
594381,0.41
594382,0.04
594383,0.0
594384,0.15
594385,0.0
594386,0.46
594387,0.0
594388,0.96
594389,0.15
594390,0.0
594391,0.37
594392,0.48
594393,0.41
594394,0.25
594395,0.03
594396,0.28
594397,0.0
594398,0.62
594399,0.63
594400,0.11
594401,1.0
594402,0.0
594403,0.07
594404,0.0
594405,0.69
594406,0.06
594407,0.01
594408,0.24
594409,0.19
594410,0.0
594411,0.48
594412,0.53
594413,0.0
594414,0.0
594415,0.0
594416,0.7
594417,0.0
594418,0.0
594419,0.0
594420,0.01
594421,0.97
594422,0.0
594423,0.0
594424,0.02
594425,0.0
594426,0.0
594427,0.93
594428,0.01
594429,0.0
594430,0.01
594431,0.68
594432,0.01
594433,0.34
594434,0.0
594435,0.15
594436,0.11
594437,0.0
594438,0.04
594439,0.02
594440,0.0
594441,0.0
594442,0.01
594443,0.05
594444,0.67
594445,0.31
594446,0.0
594447,0.63
594448,0.48
594449,0.01
594450,0.02
594451,0.19
594452,0.14
594453,0.0
594454,0.01
594455,0.53
594456,0.48
594457,0.0
594458,0.02
594459,0.01
594460,0.12
594461,0.0
594462,0.02
594463,0.01
594464,0.16
594465,0.03
594466,0.06
594467,0.0
594468,0.01
594469,0.0
594470,0.83
594471,0.01
594472,0.45
594473,0.02
594474,0.24
594475,0.18
594476,0.89
594477,0.0
594478,0.4
594479,0.68
594480,0.51
594481,0.14
594482,0.0
594483,0.04
594484,0.65
594485,0.0
594486,0.02
594487,0.0
594488,0.01
594489,0.66
594490,0.04
594491,0.0
594492,0.96
594493,0.4
594494,0.8
594495,0.12
594496,0.19
594497,0.0
594498,0.26
594499,0.0
594500,0.33
594501,0.21
594502,0.0
594503,0.0
594504,0.0
594505,0.07
594506,0.23
594507,0.25
594508,0.24
594509,0.15
594510,0.0
594511,0.0
594512,0.21
594513,0.1
594514,0.0
594515,0.56
594516,0.0
594517,0.19
594518,0.0
594519,0.01
594520,0.01
594521,0.0
594522,0.08
594523,0.0
594524,0.47
594525,0.02
594526,0.15
594527,0.27
594528,0.0
594529,0.08
594530,0.0
594531,0.58
594532,0.87
594533,0.54
594534,0.01
594535,0.0
594536,0.67
594537,0.62
594538,0.06
594539,0.61
594540,0.62
594541,0.31
594542,0.0
594543,0.62
594544,0.4
594545,0.0
594546,0.0
594547,0.0
594548,0.0
594549,0.0
594550,0.0
594551,0.04
594552,0.02
594553,0.15
594554,0.65
594555,0.0
594556,0.88
594557,0.01
594558,0.14
594559,0.09
594560,0.0
594561,0.0
594562,0.12
594563,0.55
594564,0.0
594565,0.65
594566,0.37
594567,0.91
594568,0.12
594569,0.0
594570,0.21
594571,0.0
594572,0.0
594573,0.0
594574,0.0
594575,0.0
594576,0.44
594577,0.01
594578,0.01
594579,0.85
594580,0.0
594581,0.36
594582,0.04
594583,0.31
594584,0.21
594585,0.0
594586,0.59
594587,0.84
594588,0.0
594589,0.75
594590,0.19
594591,0.99
594592,0.71
594593,0.3
594594,0.0
594595,0.03
594596,0.0
594597,0.0
594598,0.0
594599,0.04
594600,0.85
594601,0.0
594602,0.64
594603,0.19
594604,0.5
594605,0.0
594606,0.24
594607,0.09
594608,0.0
594609,1.0
594610,0.05
594611,0.25
594612,0.0
594613,0.01
594614,0.0
594615,0.05
594616,0.0
594617,0.51
594618,0.0
594619,0.0
594620,0.0
594621,0.03
594622,0.0
594623,0.0
594624,0.0
594625,0.06
594626,0.31
594627,0.0
594628,0.0
594629,0.11
594630,0.02
594631,0.0
594632,0.6
594633,0.02
594634,0.0
594635,0.01
594636,0.0
594637,0.3
594638,0.84
594639,0.0
594640,0.05
594641,0.6
594642,0.0
594643,0.13
594644,0.0
594645,0.56
594646,0.0
594647,0.14
594648,0.95
594649,0.76
594650,0.08
594651,0.96
594652,0.01
594653,0.0
594654,0.68
594655,0.43
594656,0.0
594657,0.0
594658,0.0
594659,0.02
594660,0.1
594661,0.6
594662,0.0
594663,0.73
594664,0.02
594665,0.62
594666,0.9
594667,0.01
594668,0.0
594669,0.02
594670,0.39
594671,0.95
594672,0.0
594673,0.06
594674,0.59
594675,0.22
594676,0.0
594677,0.0
594678,0.06
594679,0.08
594680,0.02
594681,0.0
594682,0.27
594683,0.01
594684,0.8
594685,0.32
594686,0.35
594687,0.0
594688,0.0
594689,0.37
594690,0.01
594691,0.0
594692,0.01
594693,0.2
594694,0.0
594695,0.0
594696,0.84
594697,0.81
594698,0.35
594699,0.12
594700,0.0
594701,0.89
594702,0.0
594703,0.07
594704,0.12
594705,0.21
594706,0.0
594707,0.1
594708,0.95
594709,0.21
594710,0.0
594711,0.0
594712,0.75
594713,0.87
594714,0.05
594715,0.0
594716,0.0
594717,0.0
594718,0.01
594719,0.0
594720,0.0
594721,0.0
594722,0.0
594723,0.14
594724,0.01
594725,0.89
594726,0.0
594727,0.0
594728,0.98
594729,0.0
594730,0.91
594731,0.2
594732,0.0
594733,0.02
594734,0.0
594735,0.54
594736,0.0
594737,0.61
594738,0.19
594739,0.0
594740,0.66
594741,0.18
594742,0.73
594743,0.16
594744,0.04
594745,0.0
594746,0.29
594747,0.71
594748,0.0
594749,0.02
594750,0.0
594751,0.44
594752,0.07
594753,0.0
594754,0.11
594755,0.78
594756,0.04
594757,0.0
594758,0.0
594759,0.4
594760,0.21
594761,0.62
594762,0.0
594763,0.0
594764,0.01
594765,0.0
594766,0.12
594767,0.44
594768,0.47
594769,0.0
594770,0.0
594771,0.0
594772,0.02
594773,0.37
594774,0.33
594775,0.02
594776,0.47
594777,0.04
594778,0.01
594779,0.52
594780,0.04
594781,0.0
594782,0.0
594783,0.0
594784,0.0
594785,0.95
594786,0.03
594787,0.04
594788,0.0
594789,0.43
594790,0.0
594791,0.0
594792,0.04
594793,0.03
594794,0.0
594795,0.07
594796,0.0
594797,0.09
594798,0.54
594799,0.0
594800,0.0
594801,0.29
594802,0.0
594803,0.66
594804,0.05
594805,0.98
594806,0.22
594807,0.32
594808,0.01
594809,0.53
594810,0.0
594811,0.48
594812,0.0
594813,0.0
594814,0.0
594815,0.0
594816,0.0
594817,0.14
594818,0.48
594819,0.0
594820,0.12
594821,0.02
594822,0.05
594823,0.0
594824,0.47
594825,0.0
594826,0.01
594827,0.0
594828,0.0
594829,0.0
594830,0.0
594831,0.03
594832,0.46
594833,0.24
594834,0.44
594835,0.0
594836,0.0
594837,0.0
594838,0.0
594839,0.99
594840,0.61
594841,0.08
594842,0.05
594843,0.0
594844,0.85
594845,0.01
594846,0.4
594847,0.11
594848,0.0
594849,0.16
594850,0.01
594851,0.31
594852,0.63
594853,0.0
594854,0.86
594855,0.33
594856,0.51
594857,0.02
594858,0.0
594859,0.03
594860,0.0
594861,0.68
594862,0.01
594863,0.03
594864,0.0
594865,0.11
594866,0.0
594867,0.01
594868,0.82
594869,0.0
594870,0.26
594871,0.07
594872,0.0
594873,0.0
594874,0.42
594875,0.73
594876,0.03
594877,0.84
594878,0.44
594879,0.0
594880,0.84
594881,0.09
594882,0.57
594883,0.0
594884,0.26
594885,0.97
594886,0.09
594887,0.0
594888,0.04
594889,0.01
594890,0.13
594891,0.0
594892,0.67
594893,0.1
594894,0.1
594895,0.3
594896,0.0
594897,0.46
594898,0.47
594899,0.09
594900,0.0
594901,0.89
594902,0.0
594903,0.12
594904,0.0
594905,0.0
594906,0.94
594907,0.0
594908,0.0
594909,0.0
594910,0.81
594911,0.0
594912,0.58
594913,0.59
594914,0.0
594915,0.0
594916,0.0
594917,0.31
594918,0.1
594919,0.02
594920,1.0
594921,0.0
594922,0.27
594923,0.09
594924,0.95
594925,0.0
594926,0.07
594927,0.0
594928,0.0
594929,0.0
594930,0.0
594931,0.65
594932,0.04
594933,0.0
594934,0.36
594935,0.0
594936,0.51
594937,0.07
594938,0.84
594939,0.12
594940,0.04
594941,0.05
594942,0.21
594943,0.76
594944,0.06
594945,0.24
594946,0.04
594947,0.03
594948,0.0
594949,0.46
594950,0.27
594951,0.0
594952,0.0
594953,0.01
594954,0.06
594955,0.0
594956,0.0
594957,0.48
594958,0.09
594959,0.66
594960,0.0
594961,0.0
594962,0.03
594963,0.82
594964,0.0
594965,0.05
594966,0.09
594967,0.0
594968,0.1
594969,0.24
594970,0.19
594971,0.88
594972,0.0
594973,0.0
594974,0.0
594975,0.04
594976,0.0
594977,0.0
594978,0.93
594979,0.04
594980,0.01
594981,0.37
594982,0.04
594983,0.0
594984,0.59
594985,0.29
594986,0.18
594987,0.22
594988,0.0
594989,0.17
594990,0.68
594991,0.11
594992,0.01
594993,0.01
594994,0.0
594995,0.32
594996,0.09
594997,0.0
594998,0.43
